slot,total_cus,max_dist_cus,longest_path_cus,track0_cus,track1_cus,track2_cus,track3_cus,empty_cus
350480077,45247375,13039333,9311668,13039333,12096693,12911331,12873796,2163000,7836778
350480078,44788321,12197825,8603260,12197825,10914574,12003938,10359001,2165100,2852117
350480084,41373819,13637267,9633831,13597480,13491700,13449124,13637267,2169300,14971052
350480088,43598229,11999392,6978829,10471929,11534321,11999392,9899744,2173500,2480657
350480092,45462958,13559106,11181362,13559106,13531257,13398515,13441919,2169300,10637139
350480095,46861662,14052753,12060387,13992547,14052753,14051387,14023970,371700,9630695
350480096,44741541,11437652,11437652,11437652,11361233,11299067,11359366,4342841,5058618
350480097,45751466,11934465,9486571,11748298,11934465,11476206,11555306,2230200,3193009
350480098,45708323,18061920,14532735,18061920,17889463,17890594,17885697,2247000,28266351
350480099,44588206,17096140,14614728,17002921,17014289,17096140,16850691,2154600,25530435
350480100,44402997,17648748,14995996,17576971,17648748,16749425,16729934,2167200,26469281
350480101,43907138,19112345,18428066,19112345,19036628,18783782,18986086,2163000,34174703
350480102,40455672,15247318,13518521,14530028,15055603,15059676,15247318,2163000,21599953
350480104,40178538,15091909,12830550,15091909,14806097,14955946,14843312,2184000,21702726
350480105,41929515,13559343,11812511,13449352,13559343,13362141,13302806,2160900,13905027
350480109,45318405,11562941,5896232,10967917,10896824,11562941,11073829,2163000,1346106
350480110,45263493,13198690,9881217,11933033,13198690,12405077,11488984,2160900,5923191
350480112,43027840,22282529,19984648,22104046,22188013,22282529,22129515,2173500,47849763
350480116,44814168,15861671,13410704,15665604,15539536,15385658,15861671,2169300,19807601
350480120,45328928,14465229,9154709,14374609,14301702,14465229,14229018,2179800,14221430
350480124,44290839,17345347,14012603,17345347,17254418,17220279,17242205,2337300,27108710
350480125,44754656,19383687,16913562,16932400,19310621,19383687,19265992,2160900,32298944
350480126,44904689,18688642,15009774,18068693,18688642,18093050,17969381,4035707,31950784
350480127,44737096,15318920,13021534,15303922,15157027,15318920,14691607,2163000,17897380
