track,start_cus,end_cus,on_critical_path,is_simple_vote
0,489300,491400,false,true
1,489300,491400,false,true
0,491400,493500,false,true
1,491400,493500,false,true
0,493500,495600,false,true
1,493500,495600,false,true
0,495600,497700,false,true
1,495600,497700,false,true
0,497700,499800,false,true
1,497700,499800,false,true
0,499800,501900,false,true
1,499800,501900,false,true
3,2582235,2763301,false,false
0,2505992,2678059,false,false
2,2533534,2579543,true,false
1,2541220,2710146,false,false
2,2579543,2583790,false,false
2,2583790,2764856,false,false
0,2678059,2684713,false,false
0,2684713,2691367,false,false
0,2691367,2698021,false,false
0,2698021,2704675,false,false
0,2704675,2899240,false,false
0,501900,504000,false,true
1,501900,504000,false,true
0,504000,506100,false,true
1,504000,506100,false,true
0,506100,508200,false,true
1,506100,508200,false,true
0,508200,510300,false,true
1,508200,510300,false,true
0,510300,512400,false,true
1,510300,512400,false,true
0,512400,514500,false,true
1,512400,514500,false,true
0,514500,516600,false,true
1,514500,516600,false,true
0,516600,518700,false,true
1,516600,518700,false,true
0,518700,520800,false,true
1,518700,520800,false,true
0,520800,522900,false,true
1,520800,522900,false,true
0,522900,525000,false,true
1,522900,525000,false,true
0,525000,527100,false,true
1,525000,527100,false,true
0,527100,529200,false,true
1,527100,529200,false,true
0,529200,531300,false,true
1,529200,531300,false,true
0,531300,533400,false,true
1,531300,533400,false,true
0,533400,535500,false,true
1,533400,535500,false,true
0,535500,537600,false,true
1,535500,537600,false,true
0,537600,539700,false,true
1,537600,539700,false,true
0,539700,541800,false,true
1,2710146,2895709,false,false
3,2763301,2767548,false,false
2,2764856,2786517,false,false
3,2767548,2959113,false,false
2,2786517,2876851,false,false
2,2876851,2963320,false,false
1,2895709,3067773,false,false
2,2963320,3049789,false,false
1,539700,541800,false,true
0,541800,543900,false,true
1,541800,543900,false,true
0,543900,546000,false,true
1,543900,546000,false,true
0,546000,548100,false,true
1,546000,548100,false,true
0,548100,550200,false,true
1,548100,550200,false,true
0,550200,552300,false,true
1,550200,552300,false,true
0,552300,554400,false,true
1,552300,554400,false,true
0,554400,556500,false,true
1,554400,556500,false,true
0,556500,558600,false,true
1,556500,558600,false,true
0,558600,560700,false,true
1,558600,560700,false,true
0,560700,562800,false,true
1,560700,562800,false,true
0,562800,564900,false,true
1,562800,564900,false,true
0,564900,567000,false,true
1,564900,567000,false,true
0,567000,569100,false,true
1,567000,569100,false,true
0,569100,571200,false,true
1,569100,571200,false,true
0,571200,573300,false,true
1,571200,573300,false,true
0,573300,575400,false,true
1,573300,575400,false,true
0,575400,577500,false,true
1,575400,577500,false,true
0,577500,579600,false,true
1,577500,579600,false,true
0,579600,581700,false,true
1,579600,581700,false,true
0,581700,583800,false,true
1,581700,583800,false,true
0,583800,585900,false,true
1,583800,585900,false,true
0,585900,588000,false,true
1,585900,588000,false,true
0,588000,590100,false,true
1,588000,590100,false,true
0,2899240,3077307,false,false
3,2959113,3103360,true,false
3,3103360,3139000,true,false
2,3049789,3054433,false,false
2,3054433,3106415,false,false
1,3067773,3253337,false,false
3,3139000,3207791,true,false
0,3077307,3252374,false,false
2,3106415,3125012,false,false
2,3125012,3127324,false,false
0,590100,592200,false,true
1,590100,592200,false,true
0,592200,594300,false,true
1,592200,594300,false,true
0,594300,596400,false,true
1,594300,596400,false,true
0,596400,598500,false,true
1,596400,598500,false,true
0,598500,600600,false,true
1,598500,600600,false,true
0,600600,602700,false,true
1,600600,602700,false,true
0,602700,604800,false,true
1,602700,604800,false,true
0,604800,606900,false,true
1,604800,606900,false,true
0,606900,609000,false,true
1,606900,609000,false,true
0,609000,611100,false,true
1,609000,611100,false,true
0,611100,613200,false,true
1,611100,613200,false,true
0,613200,615300,false,true
1,613200,615300,false,true
0,615300,617400,false,true
1,615300,617400,false,true
0,617400,619500,false,true
1,617400,619500,false,true
0,619500,621600,false,true
1,619500,621600,false,true
0,621600,623700,false,true
1,621600,623700,false,true
0,623700,625800,false,true
1,623700,625800,false,true
0,625800,627900,false,true
1,625800,627900,false,true
0,627900,630000,false,true
2,3127324,3149524,false,false
2,3149524,3191837,false,false
2,3191837,3284339,false,false
3,3207791,3301264,true,false
2,3284339,3386256,false,false
0,3252374,3371857,false,false
1,3253337,3343216,false,false
3,3301264,3342488,true,false
1,627900,630000,false,true
0,630000,632100,false,true
1,630000,632100,false,true
0,632100,634200,false,true
1,632100,634200,false,true
0,634200,636300,false,true
1,634200,636300,false,true
0,636300,638400,false,true
1,636300,638400,false,true
0,638400,640500,false,true
1,638400,640500,false,true
0,640500,642600,false,true
1,640500,642600,false,true
0,642600,644700,false,true
1,642600,644700,false,true
0,644700,646800,false,true
1,644700,646800,false,true
0,646800,648900,false,true
1,646800,648900,false,true
0,648900,651000,false,true
1,648900,651000,false,true
0,651000,653100,false,true
1,651000,653100,false,true
0,653100,655200,false,true
1,653100,655200,false,true
0,655200,657300,false,true
1,655200,657300,false,true
0,657300,659400,false,true
1,657300,659400,false,true
0,659400,661500,false,true
1,659400,661500,false,true
0,661500,663600,false,true
1,661500,663600,false,true
0,663600,665700,false,true
1,663600,665700,false,true
0,665700,667800,false,true
1,665700,667800,false,true
0,667800,669900,false,true
1,667800,669900,false,true
0,669900,672000,false,true
1,669900,672000,false,true
3,3342488,3424955,false,false
1,3343216,3384440,true,false
0,3371857,3416599,false,false
1,3384440,3590403,false,false
2,3386256,3432265,true,false
0,3416599,3611166,false,false
3,3424955,3465140,false,false
2,3432265,3474462,false,false
3,3465140,3605612,false,false
1,3590403,3722202,false,false
2,3474462,3514618,false,false
2,3514618,3665358,true,false
3,3605612,3791178,false,false
1,3722202,3740799,false,false
1,3740799,3759396,false,false
1,3759396,3868010,false,false
2,3665358,3816124,true,false
0,672000,674100,false,true
1,672000,674100,false,true
0,674100,676200,false,true
1,674100,676200,false,true
0,676200,678300,false,true
1,676200,678300,false,true
0,678300,680400,false,true
1,678300,680400,false,true
0,680400,682500,false,true
1,680400,682500,false,true
0,682500,684600,false,true
1,682500,684600,false,true
0,684600,686700,false,true
1,684600,686700,false,true
0,686700,688800,false,true
1,686700,688800,false,true
0,688800,690900,false,true
1,688800,690900,false,true
0,690900,693000,false,true
1,690900,693000,false,true
0,693000,695100,false,true
1,693000,695100,false,true
0,695100,697200,false,true
1,695100,697200,false,true
0,697200,699300,false,true
1,697200,699300,false,true
0,699300,701400,false,true
1,699300,701400,false,true
0,701400,703500,false,true
1,701400,703500,false,true
0,703500,705600,false,true
1,703500,705600,false,true
0,705600,707700,false,true
1,705600,707700,false,true
0,707700,709800,false,true
1,707700,709800,false,true
0,709800,711900,false,true
1,709800,711900,false,true
0,711900,714000,false,true
1,711900,714000,false,true
0,714000,716100,false,true
1,714000,716100,false,true
0,716100,718200,false,true
1,716100,718200,false,true
0,718200,720300,false,true
1,718200,720300,false,true
0,720300,722400,false,true
1,720300,722400,false,true
0,722400,724500,false,true
1,722400,724500,false,true
0,724500,726600,false,true
1,724500,726600,false,true
0,726600,728700,false,true
1,726600,728700,false,true
0,728700,730800,false,true
1,728700,730800,false,true
0,730800,732900,false,true
1,730800,732900,false,true
0,732900,735000,false,true
1,732900,735000,false,true
0,735000,737100,false,true
1,735000,737100,false,true
0,737100,739200,false,true
3,3791178,3976744,false,false
2,3816124,3909525,true,false
0,3611166,3826283,false,false
1,3868010,3886607,false,false
0,3826283,3995401,false,false
2,3909525,4002998,true,false
0,3995401,4002055,false,false
1,3886607,3995221,false,false
2,4002998,4049007,true,false
3,3976744,3979660,false,false
3,3979660,4064791,false,false
1,737100,739200,false,true
0,739200,741300,false,true
1,739200,741300,false,true
0,741300,743400,false,true
1,741300,743400,false,true
0,743400,745500,false,true
1,743400,745500,false,true
0,745500,747600,false,true
1,745500,747600,false,true
0,747600,749700,false,true
1,747600,749700,false,true
0,749700,751800,false,true
1,749700,751800,false,true
0,751800,753900,false,true
1,751800,753900,false,true
0,753900,756000,false,true
1,753900,756000,false,true
0,756000,758100,false,true
1,756000,758100,false,true
0,758100,760200,false,true
1,758100,760200,false,true
0,760200,762300,false,true
1,760200,762300,false,true
0,762300,764400,false,true
1,762300,764400,false,true
0,764400,766500,false,true
1,764400,766500,false,true
0,766500,768600,false,true
1,766500,768600,false,true
0,768600,770700,false,true
1,768600,770700,false,true
0,770700,772800,false,true
1,770700,772800,false,true
0,772800,774900,false,true
1,772800,774900,false,true
0,774900,777000,false,true
1,774900,777000,false,true
0,777000,779100,false,true
1,777000,779100,false,true
0,779100,781200,false,true
1,779100,781200,false,true
0,781200,783300,false,true
1,781200,783300,false,true
0,783300,785400,false,true
1,783300,785400,false,true
0,785400,787500,false,true
1,785400,787500,false,true
0,787500,789600,false,true
1,787500,789600,false,true
0,789600,791700,false,true
1,789600,791700,false,true
0,791700,793800,false,true
1,791700,793800,false,true
0,793800,795900,false,true
1,793800,795900,false,true
0,795900,798000,false,true
1,795900,798000,false,true
0,798000,800100,false,true
1,798000,800100,false,true
0,800100,802200,false,true
1,800100,802200,false,true
0,802200,804300,false,true
1,802200,804300,false,true
0,804300,806400,false,true
1,3995401,4002055,false,false
0,4002055,4008709,false,false
1,4002055,4008709,false,false
0,4008709,4154918,false,false
1,4008709,4743651,false,false
2,4049007,4055661,false,false
2,4055661,4096885,true,false
3,4064791,4140213,false,false
3,4140213,4162010,false,false
3,4162010,4237432,false,false
2,4096885,4209579,false,false
0,4154918,4273688,false,false
2,4209579,4393645,false,false
3,4237432,4241679,false,false
3,4241679,4242084,false,false
3,4242084,4246331,false,false
3,4246331,4359025,false,false
1,804300,806400,false,true
0,806400,808500,false,true
1,806400,808500,false,true
0,808500,810600,false,true
1,808500,810600,false,true
0,810600,812700,false,true
1,810600,812700,false,true
0,812700,814800,false,true
1,812700,814800,false,true
0,814800,816900,false,true
1,814800,816900,false,true
0,816900,819000,false,true
1,816900,819000,false,true
0,819000,821100,false,true
1,819000,821100,false,true
0,821100,823200,false,true
1,821100,823200,false,true
0,823200,825300,false,true
1,823200,825300,false,true
0,825300,827400,false,true
1,825300,827400,false,true
0,827400,829500,false,true
1,827400,829500,false,true
0,829500,831600,false,true
1,829500,831600,false,true
0,831600,833700,false,true
1,831600,833700,false,true
0,833700,835800,false,true
1,833700,835800,false,true
0,835800,837900,false,true
1,835800,837900,false,true
0,837900,840000,false,true
1,837900,840000,false,true
0,840000,842100,false,true
1,840000,842100,false,true
0,842100,844200,false,true
1,842100,844200,false,true
0,844200,846300,false,true
1,844200,846300,false,true
0,846300,848400,false,true
1,846300,848400,false,true
0,848400,850500,false,true
1,848400,850500,false,true
0,850500,852600,false,true
1,850500,852600,false,true
0,852600,854700,false,true
1,852600,854700,false,true
0,854700,856800,false,true
1,854700,856800,false,true
0,856800,858900,false,true
1,856800,858900,false,true
0,858900,861000,false,true
1,858900,861000,false,true
0,861000,863100,false,true
1,861000,863100,false,true
0,863100,865200,false,true
1,863100,865200,false,true
0,865200,867300,false,true
1,865200,867300,false,true
0,867300,869400,false,true
1,867300,869400,false,true
0,869400,871500,false,true
1,869400,871500,false,true
0,871500,873600,false,true
0,4273688,4306077,false,false
0,4306077,4364390,true,false
3,4359025,4391414,false,false
0,4364390,4408996,false,false
3,4391414,4501880,false,false
3,4501880,4530054,false,false
2,4393645,4451958,true,false
0,4408996,4520190,false,false
1,4743651,4743980,false,false
2,4451958,4502954,false,false
2,4502954,4561267,true,false
3,4530054,4558228,false,false
2,4561267,4567028,true,false
0,4520190,4635884,false,false
1,871500,873600,false,true
0,873600,875700,false,true
1,873600,875700,false,true
0,875700,877800,false,true
1,875700,877800,false,true
0,877800,879900,false,true
1,877800,879900,false,true
0,879900,882000,false,true
1,879900,882000,false,true
0,882000,884100,false,true
1,882000,884100,false,true
0,884100,886200,false,true
1,884100,886200,false,true
0,886200,888300,false,true
1,886200,888300,false,true
0,888300,890400,false,true
1,888300,890400,false,true
0,890400,892500,false,true
1,890400,892500,false,true
0,892500,894600,false,true
1,892500,894600,false,true
0,894600,896700,false,true
1,894600,896700,false,true
0,896700,898800,false,true
1,896700,898800,false,true
0,898800,900900,false,true
1,898800,900900,false,true
0,900900,903000,false,true
1,900900,903000,false,true
0,903000,905100,false,true
1,903000,905100,false,true
0,905100,907200,false,true
1,905100,907200,false,true
0,907200,909300,false,true
1,907200,909300,false,true
0,909300,911400,false,true
1,909300,911400,false,true
0,911400,913500,false,true
1,911400,913500,false,true
0,913500,915600,false,true
1,913500,915600,false,true
0,915600,917700,false,true
1,915600,917700,false,true
0,917700,919800,false,true
1,917700,919800,false,true
0,919800,921900,false,true
1,919800,921900,false,true
0,921900,924000,false,true
1,921900,924000,false,true
0,924000,926100,false,true
1,924000,926100,false,true
0,926100,928200,false,true
1,926100,928200,false,true
0,928200,930300,false,true
1,928200,930300,false,true
0,930300,932400,false,true
1,930300,932400,false,true
